round_epochs,loss,accuracy,val_loss,val_accuracy,lr,activation,batchsize,dropout,nfilters_1,nfilters_2,nodes_1,nodes_2,optimizer,shape_1,shape_2
20,0.5795382261276245,0.7073500156402588,0.6685102581977844,0.6011999845504761,1e-06,elu,150,0.2,32,64,32,32,Nadam,5,1
20,0.6028874516487122,0.682449996471405,0.718609631061554,0.6339499950408936,1e-06,relu,100,0.6,64,32,32,64,Adam,3,3
20,0.5922434329986572,0.6926000118255615,0.6482239961624146,0.6162999868392944,1e-06,relu,100,0.4,32,64,96,96,Nadam,3,3
20,0.5793668627738953,0.7041500210762024,0.6464765667915344,0.6530500054359436,1.6000001e-06,elu,100,0.4,64,96,96,64,Adam,3,3
20,0.576169490814209,0.7056000232696533,0.6728865504264832,0.6222500205039978,1e-06,elu,50,0.4,96,96,96,32,Nadam,3,3
20,0.5672897100448608,0.7158499956130981,0.7565416097640991,0.5924000144004822,1e-06,elu,50,0.2,32,96,64,32,Nadam,3,3
20,0.5871496200561523,0.6980000138282776,0.6368446946144104,0.6541000008583069,1.6000001e-06,relu,150,0.4,32,96,64,64,Adam,3,1
20,0.5956955552101135,0.6888499855995178,0.684425950050354,0.534500002861023,1e-06,elu,150,0.6,32,32,64,96,Nadam,5,1
20,0.5716093182563782,0.7120000123977661,1.4754939079284668,0.5089499950408936,1e-06,relu,150,0.2,32,64,64,64,Adam,5,3
20,0.598504900932312,0.6869999766349792,0.7026342749595642,0.5376499891281128,1e-06,elu,100,0.6,64,32,32,32,Adam,5,5
20,0.5720916390419006,0.7100499868392944,0.6550185084342957,0.6337500214576721,1e-06,elu,100,0.4,32,64,64,64,Nadam,5,5
20,0.5602892637252808,0.7224500179290771,0.6376050114631653,0.6916000247001648,1e-06,elu,50,0.2,64,96,96,64,Adam,5,1
20,0.6476191282272339,0.6214500069618225,1.557870864868164,0.5001000165939331,1e-06,relu,150,0.4,32,32,64,96,Adam,1,1
20,0.6333086490631104,0.640999972820282,2.994102716445923,0.4485499858856201,1e-06,elu,50,0.2,32,64,96,64,Adam,1,1
20,0.6012390851974487,0.685699999332428,0.7184997200965881,0.49410000443458557,1e-06,elu,150,0.6,64,32,32,64,Nadam,5,5
20,0.5823119878768921,0.7030500173568726,0.646171510219574,0.6396999955177307,1e-06,elu,50,0.4,64,64,96,64,Nadam,3,5
20,0.6092478632926941,0.6757000088691711,0.6603896617889404,0.6175500154495239,1e-06,elu,100,0.2,32,32,32,64,Nadam,1,5
20,0.6165062785148621,0.6650999784469604,3.2488772869110107,0.5,1e-06,elu,100,0.2,96,32,32,32,Adam,1,5
20,0.5926980376243591,0.6919999718666077,0.9005123972892761,0.5,1e-06,relu,150,0.4,32,32,32,64,Adam,3,3
20,0.5991637706756592,0.6886500120162964,0.7588110566139221,0.5264999866485596,1e-06,elu,150,0.4,96,64,32,32,Adam,3,5
20,0.6301860809326172,0.6496999859809875,0.7053839564323425,0.5238500237464905,1e-06,elu,150,0.6,64,64,96,64,Nadam,1,3
20,0.5887851715087891,0.7019500136375427,0.6577151417732239,0.6690000295639038,1e-06,elu,150,0.4,64,96,32,64,Adam,5,1
20,0.6354915499687195,0.640250027179718,0.8151734471321106,0.5,1e-06,relu,100,0.6,64,64,64,32,Adam,1,5
20,0.6150541305541992,0.6710000038146973,0.8561410307884216,0.5,1e-06,relu,150,0.6,64,32,64,32,Nadam,3,5
20,0.598779022693634,0.6868000030517578,0.7455922365188599,0.5235499739646912,1e-06,elu,50,0.6,32,32,32,32,Nadam,5,5
