round_epochs,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr,activation,batchsize,dropout,nfilters_1,nfilters_2,nodes_1,nodes_2,optimizer,shape_1,shape_2
20,0.6098353862762451,0.679099977016449,0.7284282445907593,1.516671061515808,0.5,0.42464134097099304,1e-06,relu,150,0.4,96,96,32,32,Adam,3,1
20,0.6411680579185486,0.6294500231742859,0.6794095635414124,0.7037105560302734,0.5208500027656555,0.5261844992637634,1e-06,elu,150,0.4,32,96,64,32,Nadam,1,1
20,0.5949904322624207,0.6933500170707703,0.7475682497024536,0.8796617388725281,0.5,0.5371513366699219,1e-06,relu,100,0.6,96,96,96,64,Nadam,5,3
20,0.6653981804847717,0.5957499742507935,0.6308026909828186,1.5148189067840576,0.5028499960899353,0.5332861542701721,1e-06,elu,50,0.4,32,96,96,96,Nadam,1,1
20,0.6258389353752136,0.6531500220298767,0.7058079242706299,0.7064105272293091,0.5366500020027161,0.5787962675094604,1e-06,elu,150,0.4,32,96,96,64,Nadam,1,3
20,0.5917117595672607,0.6938999891281128,0.7513588666915894,0.7179470062255859,0.5371999740600586,0.6032078266143799,1e-06,relu,100,0.4,64,64,96,64,Nadam,5,5
20,0.5699260830879211,0.7131500244140625,0.7753655910491943,1.253021001815796,0.5273000001907349,0.587236762046814,1.6000001e-06,elu,100,0.2,96,32,64,32,Adam,3,5
20,0.5934875011444092,0.6923499703407288,0.7495042681694031,0.7086582183837891,0.5023000240325928,0.5231404304504395,1e-06,elu,100,0.6,64,64,32,64,Adam,5,5
20,0.6089449524879456,0.6772500276565552,0.7319468855857849,0.6596152186393738,0.6108999848365784,0.6643404364585876,1e-06,elu,50,0.6,96,96,96,32,Adam,3,1
20,0.5832675099372864,0.7056000232696533,0.7606334090232849,0.6764848232269287,0.6492999792098999,0.6807845830917358,1e-06,relu,150,0.4,96,32,64,96,Adam,5,3
20,0.6037663221359253,0.680649995803833,0.7367352247238159,0.6869953870773315,0.5360000133514404,0.5707653760910034,1e-06,elu,150,0.6,64,32,64,64,Adam,3,5
20,0.6141142845153809,0.6690499782562256,0.7230415940284729,0.9612769484519958,0.510200023651123,0.5904907584190369,1e-06,relu,150,0.2,32,96,96,64,Nadam,1,3
20,0.5866881608963013,0.7031999826431274,0.7565181255340576,1.2079408168792725,0.5,0.4949946105480194,1e-06,relu,150,0.4,96,96,64,96,Adam,5,1
