round_epochs,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr,activation,nfilters_1,nfilters_2,nfilters_3,nfilters_4,nodes_1,nodes_2,shape_1,shape_2,shape_3,shape_4,t_step
20,0.5896413326263428,0.7001000046730042,0.7536759376525879,0.6117357611656189,0.6805999875068665,0.730227530002594,1e-06,elu,64,96,32,32,32,32,3,5,3,3,0.0099
20,0.6084101796150208,0.6796000003814697,0.7297826409339905,0.6840440630912781,0.5644000172615051,0.5881167054176331,1.6000001e-06,elu,96,96,64,96,96,64,3,3,5,5,0.0249
20,0.615120530128479,0.6657999753952026,0.7216272354125977,0.638439416885376,0.6392999887466431,0.6888422966003418,1e-06,elu,32,64,96,32,64,64,5,1,5,3,0.00249
20,0.5654119253158569,0.7164000272750854,0.7794808745384216,0.6505197882652283,0.6150000095367432,0.6642947196960449,1e-06,elu,96,64,64,32,64,64,5,5,5,1,0.0249
20,0.6343323588371277,0.6430000066757202,0.6914146542549133,0.6616063714027405,0.5993000268936157,0.6422012448310852,1.6000001e-06,elu,96,32,96,64,96,64,1,5,1,5,0.00249
20,0.6276671290397644,0.6517000198364258,0.7034651637077332,0.7423461675643921,0.5160999894142151,0.5976319313049316,1e-06,elu,32,96,64,64,64,64,5,1,3,1,0.00249
20,0.6543295979499817,0.6115000247955322,0.6521207690238953,3.0087668895721436,0.5,0.5,1e-06,elu,64,96,64,32,96,96,1,1,5,3,0.0099
20,0.6351282000541687,0.6432999968528748,0.6898500919342041,0.6685752272605896,0.5734999775886536,0.6233676075935364,1e-06,elu,64,32,32,64,96,64,1,5,3,3,0.0099
20,0.6312237977981567,0.6517999768257141,0.6972361207008362,0.645566999912262,0.628600001335144,0.6767550706863403,1.6000001e-06,elu,32,32,96,32,32,64,1,3,5,1,0.0099
20,0.5852117538452148,0.6995999813079834,0.7584412097930908,1.2455986738204956,0.5,0.6071505546569824,1e-06,elu,64,96,96,32,96,96,5,1,5,5,0.0099
20,0.5817773938179016,0.7053999900817871,0.7620399594306946,0.6450983285903931,0.6373000144958496,0.6867253184318542,1e-06,elu,96,32,64,32,64,64,5,3,3,1,0.0249
20,0.6254957318305969,0.6531000137329102,0.7058743834495544,0.6559484601020813,0.6230999827384949,0.6593122482299805,1e-06,elu,64,32,96,96,64,96,1,5,5,1,0.0249
20,0.5769802331924438,0.7093999981880188,0.7668342590332031,0.6866007447242737,0.5544999837875366,0.6306665539741516,1e-06,elu,96,32,96,96,64,64,5,3,3,1,0.0099
20,0.6124117374420166,0.6689000129699707,0.724550187587738,0.6687180399894714,0.5914000272750854,0.6366207003593445,1e-06,elu,32,32,96,96,96,64,3,1,1,5,0.0099
20,0.569551944732666,0.7142999768257141,0.7753206491470337,0.641487181186676,0.6360999941825867,0.6827901601791382,1e-06,elu,96,96,96,32,96,96,5,5,3,3,0.0249
20,0.6200001835823059,0.65829998254776,0.7140839099884033,0.7143402099609375,0.5418999791145325,0.5945199131965637,1e-06,elu,32,96,64,64,64,96,5,1,1,3,0.0049
20,0.6046464443206787,0.6797999739646912,0.7349225282669067,0.653418242931366,0.6126000285148621,0.6623584032058716,1e-06,elu,32,64,64,64,96,96,5,1,3,5,0.0049
20,0.642799973487854,0.6340000033378601,0.6805759072303772,0.6814433932304382,0.5737000107765198,0.6142105460166931,1e-06,elu,64,64,96,64,64,32,3,3,1,1,0.00249
20,0.5732539892196655,0.7168999910354614,0.7707488536834717,0.6877121925354004,0.5813999772071838,0.6115373969078064,1e-06,elu,64,64,64,96,96,64,3,5,3,3,0.0249
20,0.6080102324485779,0.6786999702453613,0.7314855456352234,0.6276683211326599,0.6672000288963318,0.7115234732627869,1.6000001e-06,elu,64,64,96,96,64,32,3,5,3,3,0.0049
20,0.6636903285980225,0.5939000248908997,0.6314072012901306,0.6736548542976379,0.5950000286102295,0.620681643486023,1e-06,elu,96,32,32,32,64,64,1,1,3,1,0.00249
20,0.6054664254188538,0.6771000027656555,0.7338817119598389,0.7078098654747009,0.5134000182151794,0.5589404106140137,1.6000001e-06,elu,64,96,96,96,64,32,3,1,1,5,0.0099
20,0.6143987774848938,0.666100025177002,0.722744345664978,0.6316251754760742,0.6518999934196472,0.7002120018005371,1.6000001e-06,elu,64,64,96,32,32,64,5,1,5,3,0.00249
