round_epochs,loss,accuracy,val_loss,val_accuracy,lr,activation,cumulative,nfilters_1,nfilters_2,nodes_1,nodes_2,shape_1,shape_2,t_step
20,0.5912471413612366,0.6972000002861023,0.8200836777687073,0.4440999925136566,1e-06,elu,True,32,64,64,32,2,3,0.0099
20,0.6120985150337219,0.6714000105857849,0.7154885530471802,0.5335000157356262,1e-06,elu,True,32,64,64,32,3,3,0.00249
20,0.6159515380859375,0.6622999906539917,0.8986324071884155,0.5034999847412109,1e-06,elu,False,32,64,64,32,3,2,0.0099
20,0.6148614883422852,0.6608999967575073,0.9707950353622437,0.4997999966144562,1e-06,elu,False,32,64,64,32,3,3,0.0099
20,0.6275761723518372,0.6517000198364258,1.119505763053894,0.5023999810218811,1e-06,elu,False,32,64,64,32,3,3,0.049
20,0.6173508167266846,0.6636000275611877,0.9482080340385437,0.5004000067710876,1e-06,elu,True,32,64,64,32,2,2,0.00249
20,0.63592129945755,0.6355000138282776,1.1304664611816406,0.4973999857902527,1e-06,elu,False,32,64,64,32,2,3,0.00249
20,0.6238404512405396,0.6531000137329102,1.3889344930648804,0.5,1e-06,elu,False,32,64,64,32,2,3,0.0099
20,0.5870131850242615,0.7013000249862671,0.8491636514663696,0.5180000066757202,1e-06,elu,True,32,64,64,32,3,2,0.0049
20,0.5948939919471741,0.6953999996185303,1.1115957498550415,0.5054000020027161,1e-06,elu,True,32,64,64,32,3,3,0.0049
20,0.5635890364646912,0.720300018787384,1.4692742824554443,0.5,1e-06,elu,True,32,64,64,32,3,3,0.049
20,0.6168848276138306,0.6647999882698059,0.7505956292152405,0.6417999863624573,1e-06,elu,False,32,64,64,32,2,3,0.049
20,0.5745167136192322,0.7142999768257141,1.4972167015075684,0.4943999946117401,1e-06,elu,True,32,64,64,32,2,3,0.049
20,0.5667206645011902,0.7184000015258789,1.0330145359039307,0.4551999866962433,1e-06,elu,True,32,64,64,32,3,2,0.0099
20,0.6162504553794861,0.6625000238418579,2.219977855682373,0.5,1e-06,elu,False,32,64,64,32,3,2,0.0049
20,0.6245673298835754,0.6549999713897705,0.9139694571495056,0.5019000172615051,1e-06,elu,False,32,64,64,32,3,3,0.0049
20,0.5939167737960815,0.6906999945640564,0.7358226776123047,0.49970000982284546,1e-06,elu,False,32,64,64,32,3,2,0.049
20,0.6081265211105347,0.6759999990463257,0.9069225788116455,0.5002999901771545,1e-06,elu,True,32,64,64,32,2,3,0.00249
20,0.5991825461387634,0.6866000294685364,0.7039856910705566,0.5426999926567078,1e-06,elu,True,32,64,64,32,2,3,0.0049
20,0.589870810508728,0.6984000205993652,0.722144603729248,0.6503000259399414,1e-06,elu,True,32,64,64,32,3,3,0.0099
